"Date","Price","Open","High","Low","Vol.","Change %"
"17-08-2021","973.15","925.00","974.45","910.00","293.92K","4.86%"
"16-08-2021","928.05","896.70","932.00","896.25","156.48K","1.18%"
"13-08-2021","917.20","908.00","919.00","880.00","122.44K","1.01%"
"12-08-2021","908.00","894.55","911.55","885.00","97.65K","0.88%"
"11-08-2021","900.10","880.00","907.00","843.00","229.68K","1.55%"
"10-08-2021","886.40","926.00","926.00","880.05","155.44K","-3.33%"
"09-08-2021","916.95","924.00","924.75","901.00","85.83K","-0.86%"
"06-08-2021","924.95","886.00","935.00","886.00","186.85K","2.02%"
"05-08-2021","906.65","912.00","917.00","880.00","113.45K","0.41%"
"04-08-2021","902.95","922.00","922.00","883.00","121.87K","0.11%"
"03-08-2021","902.00","882.50","918.00","871.00","208.95K","1.54%"
"02-08-2021","888.35","892.55","905.05","859.55","115.43K","-0.47%"
"30-07-2021","892.55","930.00","930.00","880.05","287.19K","-3.22%"
"29-07-2021","922.20","932.00","938.00","904.00","163.67K","-1.20%"
"28-07-2021","933.40","932.00","941.00","891.00","159.27K","0.25%"
"27-07-2021","931.05","905.00","940.50","880.00","292.82K","2.60%"
"26-07-2021","907.45","879.00","915.00","855.00","194.18K","3.05%"
"23-07-2021","880.60","883.00","889.00","849.90","189.49K","2.86%"
"22-07-2021","856.10","774.95","856.45","774.95","811.31K","4.95%"
"20-07-2021","815.70","812.25","824.80","812.25","633.89K","-4.60%"
"19-07-2021","855.00","898.80","906.00","851.75","337.93K","-4.63%"
"16-07-2021","896.55","886.00","920.00","864.95","231.37K","0.41%"
"15-07-2021","892.90","881.25","900.00","839.00","382.69K","1.32%"
"14-07-2021","881.25","925.00","932.00","877.55","446.36K","-4.60%"
"13-07-2021","923.70","909.30","928.00","890.00","255.74K","1.58%"
"12-07-2021","909.30","927.00","933.00","901.00","257.42K","-0.86%"
"09-07-2021","917.15","938.00","938.40","900.20","213.39K","-0.52%"
"08-07-2021","921.95","898.00","937.00","880.00","345.36K","2.35%"
"07-07-2021","900.80","872.30","910.00","872.30","1.07M","-1.90%"
"06-07-2021","918.20","830.80","918.20","830.80","1.28M","5.00%"
"05-07-2021","874.50","874.50","874.50","874.50","64.44K","-5.00%"
"02-07-2021","920.50","920.50","920.50","920.50","70.87K","-5.00%"
"01-07-2021","968.90","968.90","968.90","968.90","53.12K","-5.00%"
"30-06-2021","1,019.85","1,019.85","1,019.85","1,019.85","111.65K","-5.00%"
"29-06-2021","1,073.50","1,073.50","1,073.50","1,073.50","149.80K","-5.00%"
"28-06-2021","1,129.95","1,129.95","1,129.95","1,129.95","109.50K","-5.00%"
"25-06-2021","1,189.40","1,189.40","1,189.40","1,189.40","99.25K","-5.00%"
"24-06-2021","1,251.95","1,252.00","1,259.90","1,251.95","121.03K","-5.01%"
"23-06-2021","1,318.05","1,399.00","1,416.00","1,318.05","579.24K","-5.00%"
"22-06-2021","1,387.40","1,379.00","1,387.40","1,348.00","845.05K","5.00%"
"21-06-2021","1,321.35","1,195.55","1,321.35","1,195.55","1.40M","5.00%"
"18-06-2021","1,258.45","1,258.45","1,258.45","1,258.45","344.22K","-5.00%"
"17-06-2021","1,324.65","1,324.65","1,324.65","1,324.65","28.77K","-5.00%"
"16-06-2021","1,394.35","1,394.35","1,394.35","1,394.35","233.89K","-5.00%"
"15-06-2021","1,467.70","1,467.70","1,480.00","1,467.70","1.01M","-5.00%"
"14-06-2021","1,544.90","1,544.90","1,544.90","1,544.90","99.58K","-5.00%"
"11-06-2021","1,626.20","1,605.00","1,632.50","1,591.00","871.07K","2.02%"
"10-06-2021","1,594.05","1,620.00","1,622.40","1,580.00","921.19K","0.37%"
"09-06-2021","1,588.20","1,650.00","1,650.00","1,581.00","848.95K","-3.21%"
"08-06-2021","1,640.85","1,634.00","1,655.00","1,585.00","1.43M","0.85%"
"07-06-2021","1,626.95","1,634.00","1,677.00","1,555.50","1.59M","-0.64%"
"04-06-2021","1,637.50","1,650.00","1,678.00","1,606.10","1.74M","1.06%"
"03-06-2021","1,620.40","1,611.45","1,679.00","1,531.10","2.84M","2.57%"
"02-06-2021","1,579.85","1,453.00","1,584.65","1,449.85","2.77M","9.67%"
"01-06-2021","1,440.60","1,360.00","1,452.00","1,356.05","2.21M","6.80%"
"31-05-2021","1,348.85","1,339.90","1,362.00","1,318.65","856.72K","0.53%"
"28-05-2021","1,341.70","1,325.00","1,349.05","1,315.70","812.71K","-0.92%"
"27-05-2021","1,354.20","1,340.00","1,394.95","1,305.55","31.73M","2.00%"
"26-05-2021","1,327.60","1,309.00","1,335.00","1,265.00","1.09M","2.56%"
"25-05-2021","1,294.40","1,340.00","1,340.00","1,227.35","2.70M","-2.25%"
"24-05-2021","1,324.20","1,350.75","1,367.00","1,314.00","4.49M","-1.08%"
"21-05-2021","1,338.70","1,359.90","1,400.00","1,310.20","6.67M","0.22%"
"20-05-2021","1,335.80","1,338.60","1,348.35","1,309.00","3.58M","0.73%"
"19-05-2021","1,326.15","1,326.90","1,355.00","1,307.40","2.90M","-1.01%"
"18-05-2021","1,339.70","1,314.00","1,351.50","1,305.05","3.91M","3.81%"
"17-05-2021","1,290.50","1,214.00","1,300.50","1,206.00","2.29M","8.16%"
"14-05-2021","1,193.10","1,325.00","1,330.00","1,182.15","3.40M","-9.16%"
"12-05-2021","1,313.45","1,344.00","1,350.00","1,306.05","1.48M","-1.58%"
"11-05-2021","1,334.55","1,305.00","1,390.00","1,303.05","1.45M","1.47%"
"10-05-2021","1,315.20","1,301.25","1,329.70","1,301.25","1.19M","0.37%"
"07-05-2021","1,310.30","1,314.00","1,337.90","1,300.00","1.03M","0.87%"
"06-05-2021","1,299.05","1,269.70","1,311.00","1,265.40","1.15M","2.71%"
"05-05-2021","1,264.75","1,291.25","1,298.90","1,235.00","1.16M","0.95%"
"04-05-2021","1,252.85","1,268.00","1,320.00","1,232.00","1.69M","1.26%"
"03-05-2021","1,237.20","1,135.00","1,253.00","1,120.20","1.99M","7.51%"
"30-04-2021","1,150.75","1,139.95","1,159.60","1,129.00","1.28M","0.27%"
"29-04-2021","1,147.70","1,169.90","1,169.90","1,135.15","1.00M","-0.63%"
"28-04-2021","1,154.95","1,169.65","1,180.00","1,151.80","1.43M","0.26%"
"27-04-2021","1,152.00","1,160.00","1,170.00","1,142.00","1.44M","-0.16%"
"26-04-2021","1,153.80","1,151.10","1,180.00","1,140.00","1.32M","-0.06%"
"23-04-2021","1,154.50","1,170.00","1,190.00","1,147.00","1.61M","-0.77%"
"22-04-2021","1,163.40","1,140.00","1,185.00","1,114.00","1.83M","0.81%"
"20-04-2021","1,154.00","1,175.00","1,214.00","1,133.20","2.15M","0.89%"
"19-04-2021","1,143.80","1,056.00","1,171.40","1,025.10","3.48M","0.80%"
"16-04-2021","1,134.70","1,145.80","1,167.00","1,120.00","2.55M","1.90%"
"15-04-2021","1,113.55","1,019.00","1,129.70","993.00","2.90M","7.19%"
"13-04-2021","1,038.90","996.00","1,060.00","950.00","2.48M","4.91%"
"12-04-2021","990.25","1,070.00","1,070.00","984.10","3.01M","-9.36%"
"09-04-2021","1,092.55","991.00","1,092.55","990.00","3.60M","10.00%"
"08-04-2021","993.25","1,096.00","1,100.00","993.25","3.36M","-10.00%"
"07-04-2021","1,103.60","1,206.50","1,208.90","1,085.55","4.17M","-8.50%"
"06-04-2021","1,206.15","1,192.90","1,249.95","1,180.50","3.46M","3.62%"
"05-04-2021","1,164.00","1,064.00","1,197.00","1,021.00","5.75M","9.74%"
"01-04-2021","1,060.65","985.00","1,087.80","964.50","3.58M","10.34%"
"31-03-2021","961.25","911.00","971.35","896.70","2.41M","5.53%"
"30-03-2021","910.90","924.40","925.00","885.00","1.42M","0.60%"
"26-03-2021","905.45","914.00","930.00","890.10","1.79M","2.69%"
"25-03-2021","881.75","943.40","954.25","864.00","2.38M","-3.77%"
"24-03-2021","916.25","925.00","965.00","896.45","3.17M","2.36%"
"23-03-2021","895.15","833.00","914.70","832.60","3.99M","9.28%"
"22-03-2021","819.10","745.45","852.00","745.45","4.32M","10.81%"
"19-03-2021","739.20","742.00","745.00","671.00","5.71M","-0.75%"
"18-03-2021","744.80","755.00","766.00","715.00","1.59M","0.11%"
"17-03-2021","744.00","747.00","778.95","740.00","1.87M","-0.48%"
"16-03-2021","747.60","755.85","755.85","742.00","1.38M","-0.20%"
"15-03-2021","749.10","754.00","758.70","742.00","1.92M","1.50%"
"12-03-2021","738.00","728.00","745.00","728.00","2.47M","2.82%"
"10-03-2021","717.75","710.00","725.00","685.10","1.73M","1.88%"
"09-03-2021","704.50","729.00","729.40","680.85","1.67M","-1.63%"
"08-03-2021","716.20","717.90","749.45","706.00","1.88M","2.26%"
"05-03-2021","700.35","698.00","724.70","677.05","2.83M","1.68%"
"04-03-2021","688.75","645.00","701.70","630.00","4.04M","3.92%"
"03-03-2021","662.75","588.00","689.15","584.00","7.90M","15.40%"
"02-03-2021","574.30","530.00","584.45","528.05","3.27M","9.30%"
"01-03-2021","525.45","523.30","529.45","516.50","1.10M","2.59%"
"26-02-2021","512.20","490.10","518.95","488.05","1.55M","2.36%"
"25-02-2021","500.40","504.00","508.25","495.10","1.19M","0.05%"
"24-02-2021","500.15","490.00","509.05","474.10","847.31K","2.91%"
"23-02-2021","486.00","507.00","508.45","478.00","899.93K","-2.40%"
"22-02-2021","497.95","502.50","510.20","490.00","1.71M","0.06%"
"19-02-2021","497.65","513.00","519.90","458.65","2.50M","-2.34%"
"18-02-2021","509.60","515.00","538.00","506.60","3.73M","-0.07%"
"17-02-2021","509.95","521.00","542.80","497.20","5.86M","2.61%"
"16-02-2021","497.00","441.00","508.90","437.00","9.00M","16.41%"
"15-02-2021","426.95","387.00","435.00","386.10","4.70M","11.61%"
"12-02-2021","382.55","381.50","383.40","378.25","1.22M","0.88%"
"11-02-2021","379.20","384.25","390.00","377.15","909.61K","-0.81%"
"10-02-2021","382.30","384.90","384.90","376.20","786.56K","-0.14%"
"09-02-2021","382.85","384.00","385.45","380.15","825.57K","0.04%"
"08-02-2021","382.70","385.75","388.65","380.55","968.93K","0.17%"
"05-02-2021","382.05","391.00","395.35","379.00","441.74K","-1.55%"
"04-02-2021","388.05","395.80","400.00","386.00","652.63K","-0.41%"
"03-02-2021","389.65","405.80","413.15","382.15","1.33M","-2.85%"
"02-02-2021","401.10","392.00","406.95","387.20","1.68M","3.08%"
"01-02-2021","389.10","385.25","391.20","381.05","2.01M","2.11%"
"29-01-2021","381.05","382.30","389.40","377.75","1.11M","0.46%"
"28-01-2021","379.30","377.95","382.20","363.40","1.13M","-0.21%"
"27-01-2021","380.10","375.00","385.00","371.75","1.43M","0.65%"
"25-01-2021","377.65","369.45","389.00","368.00","2.68M","3.86%"
"22-01-2021","363.60","356.75","365.00","348.50","929.78K","1.92%"
